"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"15.11.2022","166,000","155,500","168,000","155,500","12,58M","7,58%"
"14.11.2022","154,300","147,100","154,300","145,800","11,43M","4,89%"
"11.11.2022","147,100","149,000","151,500","145,100","10,79M","2,80%"
"10.11.2022","143,100","141,600","146,000","140,000","13,24M","1,27%"
"09.11.2022","141,300","139,100","145,000","139,100","11,77M","1,58%"
"08.11.2022","139,100","141,400","142,900","137,000","16,06M","-1,63%"
"07.11.2022","141,400","143,000","150,100","135,900","23,41M","-1,46%"
"04.11.2022","143,500","136,200","146,800","136,200","22,04M","5,59%"
"03.11.2022","135,900","126,200","139,000","120,800","33,81M","7,52%"
"02.11.2022","126,400","130,000","130,000","123,500","24,79M","-3,88%"
"01.11.2022","131,500","122,500","131,900","122,000","33,80M","9,40%"
"31.10.2022","120,200","109,400","120,200","109,400","23,85M","9,97%"
"28.10.2022","109,300","103,900","109,900","102,500","13,04M","5,20%"
"27.10.2022","103,900","104,300","105,700","101,900","9,88M","-0,29%"
"26.10.2022","104,200","105,200","109,000","102,500","14,54M","-0,76%"
"25.10.2022","105,000","100,000","108,000","100,000","29,94M","5,00%"
"24.10.2022","100,000","93,250","101,400","91,950","28,24M","7,35%"
"21.10.2022","93,150","85,250","93,750","84,550","35,12M","9,27%"
"20.10.2022","85,250","84,850","86,500","83,400","15,39M","0,47%"
"19.10.2022","84,850","85,850","86,700","84,500","11,61M","-1,16%"
"18.10.2022","85,850","84,150","87,600","83,100","21,46M","2,08%"
"17.10.2022","84,100","84,500","85,950","82,000","25,14M","-1,87%"
"14.10.2022","85,700","88,050","88,950","85,700","27,42M","-1,95%"
"13.10.2022","87,400","81,900","88,300","80,800","43,77M","6,72%"
"12.10.2022","81,900","85,150","85,700","81,800","33,93M","-3,76%"
"11.10.2022","85,100","85,750","88,500","84,600","31,59M","-0,76%"
"10.10.2022","85,750","87,150","87,750","84,200","27,94M","-1,49%"
"07.10.2022","87,050","85,250","89,300","83,850","49,05M","2,17%"
"06.10.2022","85,200","85,000","90,550","81,350","93,76M","2,96%"
"05.10.2022","82,750","81,000","85,350","80,600","75,36M","5,55%"
"04.10.2022","78,400","72,600","78,400","72,600","44,15M","9,96%"
"03.10.2022","71,300","68,450","71,750","67,650","50,48M","4,55%"
"30.09.2022","68,200","65,900","69,650","65,100","38,73M","3,57%"
"29.09.2022","65,850","68,000","68,800","62,300","31,11M","-2,59%"
"28.09.2022","67,600","68,750","69,800","66,750","38,97M","-2,03%"
"27.09.2022","69,000","66,400","69,750","65,650","51,12M","3,99%"
"26.09.2022","66,350","61,500","67,100","61,250","52,30M","7,19%"
"23.09.2022","61,900","58,250","62,000","57,950","54,43M","6,63%"
"22.09.2022","58,050","57,450","59,950","57,100","42,34M","1,13%"
"21.09.2022","57,400","58,000","58,850","56,550","31,81M","-2,05%"
"20.09.2022","58,600","53,550","58,600","53,350","38,95M","9,74%"
"19.09.2022","53,400","55,300","56,700","53,350","19,32M","-3,17%"
"16.09.2022","55,150","53,900","55,400","53,550","15,54M","2,32%"
"15.09.2022","53,900","54,600","55,500","53,550","19,67M","-1,01%"
"14.09.2022","54,450","52,000","54,650","50,550","27,33M","4,71%"
"13.09.2022","52,000","56,700","57,100","52,000","35,54M","-7,06%"
"12.09.2022","55,950","56,250","56,500","55,450","45,42M","0,18%"
"09.09.2022","55,850","55,450","56,550","55,300","18,15M","0,99%"
"08.09.2022","55,300","56,000","57,700","55,000","28,25M","-0,81%"
"07.09.2022","55,750","56,600","57,050","55,400","20,13M","-1,33%"
"06.09.2022","56,500","57,500","58,400","55,400","34,08M","-0,44%"
"05.09.2022","56,750","53,400","57,150","53,400","40,24M","6,27%"
"02.09.2022","53,400","52,700","53,650","52,550","20,88M","1,71%"
"01.09.2022","52,500","53,450","53,500","52,400","18,77M","-1,87%"
"31.08.2022","53,500","53,200","54,150","53,200","23,36M","0,85%"
"29.08.2022","53,050","52,600","53,350","52,050","18,57M","0,76%"
"26.08.2022","52,650","52,750","53,450","51,750","24,69M","0,48%"
"25.08.2022","52,400","52,150","53,350","52,150","20,02M","0,67%"
"24.08.2022","52,050","53,500","53,650","51,900","21,17M","-2,16%"
"23.08.2022","53,200","52,950","54,050","52,600","26,76M","0,47%"
"22.08.2022","52,950","53,050","55,000","52,650","56,97M","-0,09%"
"19.08.2022","53,000","52,800","53,800","52,700","25,33M","0,38%"
"18.08.2022","52,800","53,150","54,000","51,950","31,41M","-0,28%"
"17.08.2022","52,950","53,150","53,650","52,600","26,21M","-0,09%"
"16.08.2022","53,000","52,300","53,000","50,300","29,09M","2,12%"
"15.08.2022","51,900","53,000","53,950","51,800","25,13M","-1,33%"
"12.08.2022","52,600","52,700","53,550","51,800","28,74M","-0,19%"
"11.08.2022","52,700","53,150","54,400","52,250","43,93M","-0,19%"
"10.08.2022","52,800","50,200","52,800","49,440","33,57M","5,18%"
"09.08.2022","50,200","52,050","52,650","50,000","36,84M","-3,46%"
"08.08.2022","52,000","50,200","52,850","50,100","38,06M","4,42%"
"05.08.2022","49,800","50,500","50,700","49,020","31,82M","-0,50%"
"04.08.2022","50,050","50,500","51,500","50,000","28,98M","0,42%"
"03.08.2022","49,840","48,640","50,000","48,600","39,31M","3,27%"
"02.08.2022","48,260","46,700","49,980","46,360","62,19M","3,78%"
